  PID TTY          TIME CMD
 1928 ?        00:00:00 gvfs-mtp-volume
 1932 ?        00:00:00 gvfs-afc-volume
 1937 ?        00:00:00 gvfs-gphoto2-vo
 1962 ?        00:00:00 gvfsd-trash
 1972 ?        00:00:00 gvfsd-burn
 1998 ?        00:00:00 gvfsd-metadata
 2035 ?        00:00:00 dnsmasq
 2097 ?        00:00:00 unity-webapps-s
 2153 ?        00:00:00 telepathy-indic
 2162 ?        00:00:00 mission-control
 2181 ?        00:00:00 cupsd
 2281 ?        00:00:00 zeitgeist-datah
 2286 ?        00:00:00 zeitgeist-daemo
 2292 ?        00:00:00 zeitgeist-fts
 2298 ?        00:00:00 cat
 2314 ?        00:01:04 firefox
 2420 ?        00:00:00 update-notifier
 2452 ?        00:00:00 deja-dup-monito
 2730 ?        00:00:00 kworker/0:3
 2731 ?        00:00:00 kworker/1:1
 2768 ?        00:00:01 gedit
 2827 ?        00:00:00 kworker/u16:1
 2835 ?        00:00:00 kworker/3:2
 2847 ?        00:00:03 gnome-terminal
 2854 ?        00:00:00 gnome-pty-helpe
 2855 pts/0    00:00:00 bash
 3007 ?        00:00:00 kworker/u16:0
 3034 ?        00:00:00 kworker/2:0
 3035 ?        00:00:00 kworker/0:1
 3096 ?        00:00:00 kworker/2:2
 3098 ?        00:00:00 kworker/3:0
 3099 ?        00:00:00 kworker/0:0
 3106 pts/0    00:00:00 ps
